3.760000,	2.276107,	-0.472880

3.800000,	2.178896,	-0.536770

3.840000,	2.210288,	-0.632597

3.880000,	2.177522,	-0.696475

3.920000,	2.112547,	-0.760349

3.960000,	2.079789,	-0.824219

4.000000,	2.046760,	-0.920014

4.040000,	1.981807,	-0.983872

4.080000,	1.949333,	-1.015800

4.120000,	1.948514,	-1.111575

4.160000,	1.851656,	-1.143497

4.200000,	1.850840,	-1.239259

4.240000,	1.754002,	-1.271177

4.280000,	1.721276,	-1.335009

4.320000,	1.656370,	-1.398838

4.360000,	1.591742,	-1.430750

4.400000,	1.526854,	-1.494571

4.440000,	1.494147,	-1.558388

4.480000,	1.397368,	-1.590295

4.520000,	1.364673,	-1.654104

4.560000,	1.236011,	-1.654104

4.600000,	1.171426,	-1.686008

4.640000,	1.106591,	-1.749811

4.680000,	1.042021,	-1.781710

4.720000,	0.977457,	-1.813609

4.760000,	0.880751,	-1.845506

4.800000,	0.816453,	-1.845506

4.840000,	0.751661,	-1.909298

4.880000,	0.654985,	-1.941192

4.920000,	0.558566,	-1.941192

4.960000,	0.589719,	-2.068756

5.000000,	0.493315,	-2.068756

5.040000,	0.396920,	-2.068756

5.080000,	0.300531,	-2.068756

5.120000,	0.204150,	-2.068756

5.160000,	0.107777,	-2.068756

5.200000,	-0.020708,	-2.068756

5.240000,	-0.052827,	-2.068756

5.280000,	-0.117063,	-2.068756

5.320000,	-0.213411,	-2.068756

5.360000,	-0.245525,	-2.068756

5.400000,	-0.341863,	-2.068756

5.440000,	-0.406083,	-2.068756

5.480000,	-0.629973,	-1.941192

5.520000,	-0.629973,	-1.941192

5.560000,	-0.758184,	-1.909298

5.600000,	-0.886182,	-1.845506

5.640000,	-0.950386,	-1.845506

5.680000,	-1.014384,	-1.813609

5.720000,	-1.078383,	-1.781710

5.760000,	-1.142381,	-1.749811

5.800000,	-1.238282,	-1.686008

5.840000,	-1.302283,	-1.654104

5.880000,	-1.366283,	-1.622200

5.920000,	-1.430095,	-1.558388

5.960000,	-1.494099,	-1.526480

6.000000,	-1.557918,	-1.462661

6.040000,	-1.686110,	-1.430750

6.080000,	-1.685570,	-1.335009

6.120000,	-1.749402,	-1.271177

6.160000,	-1.781320,	-1.239259

6.200000,	-1.845160,	-1.175419

6.240000,	-1.876909,	-1.111575

6.280000,	-1.972684,	-1.015800

6.320000,	-1.972515,	-0.983872

6.360000,	-2.004275,	-0.920014

6.400000,	-2.036040,	-0.856152

6.440000,	-2.067808,	-0.792285

6.480000,	-2.099580,	-0.728413

6.520000,	-2.163296,	-0.632597

6.560000,	-2.162975,	-0.568713

6.600000,	-2.194760,	-0.504826

6.640000,	-2.130231,	-0.440933

6.680000,	-2.226079,	-0.345086

6.720000,	-2.225767,	-0.281182

6.760000,	-2.225456,	-0.217273

6.800000,	-2.192880,	-0.121402

6.840000,	-2.224685,	-0.057482

6.880000,	-2.224379,	0.006442

6.920000,	-2.223922,	0.102338

6.960000,	-2.255738,	0.166274

7.000000,	-2.223166,	0.262187

7.040000,	-2.190740,	0.326134

7.080000,	-2.158311,	0.390086

7.120000,	-2.157860,	0.486023

7.160000,	-2.125427,	0.549986

7.200000,	-2.125127,	0.613955

7.240000,	-2.060553,	0.677927

7.280000,	-2.060102,	0.773895

7.320000,	-1.995667,	0.805887

7.360000,	-1.930921,	0.901868

7.400000,	-1.930617,	0.965861

7.440000,	-1.834011,	0.997860

7.480000,	-1.833551,	1.093862

7.520000,	-1.769085,	1.125865

7.560000,	-1.736462,	1.221881

7.600000,	-1.671982,	1.253888

7.640000,	-1.607339,	1.317907

7.680000,	-1.542687,	1.381930

7.720000,	-1.478184,	1.413944

7.760000,	-1.477550,	1.542008

7.800000,	-1.381017,	1.542008

7.840000,	-1.284313,	1.574027

7.880000,	-1.251803,	1.638069

7.920000,	-1.123056,	1.638069

7.960000,	-1.122558,	1.734140

8.000000,	-1.025646,	1.798193

8.040000,	-0.961254,	1.798193

8.080000,	-0.832460,	1.798193

8.120000,	-0.832287,	1.830221

8.160000,	-0.703125,	1.894281

8.200000,	-0.606503,	1.894281

8.240000,	-0.541904,	1.926313

8.280000,	-0.380837,	1.926313

8.320000,	-0.380654,	1.958346

8.360000,	-0.251782,	1.958346

8.400000,	-0.187153,	1.990380

8.440000,	-0.090482,	1.990380

8.480000,	-0.026030,	1.990380

8.520000,	0.038424,	1.990380

8.560000,	0.167344,	1.990380

8.600000,	0.264043,	1.990380

8.640000,	0.328312,	1.958346

8.680000,	0.425020,	1.958346

8.720000,	0.489497,	1.958346

8.760000,	0.586010,	1.926313

8.800000,	0.618252,	1.926313

8.840000,	0.747013,	1.894281

8.880000,	0.811503,	1.894281

8.920000,	0.940057,	1.830221

