# Time, Voltage
8.559999999999999831e-01,-7.936563727757039999e-02
8.579999999999999849e-01,-3.519707899179103094e-02
8.599999999999999867e-01,4.955092445015907288e-03
8.619999999999999885e-01,4.510625114996891227e-02
8.639999999999999902e-01,8.124142809869105974e-02
8.659999999999999920e-01,1.254055303643131225e-01
8.679999999999999938e-01,1.615388843956981901e-01
8.699999999999999956e-01,2.016860934464208555e-01
8.719999999999999973e-01,2.338031315200641558e-01
8.739999999999999991e-01,2.619050081502791727e-01
8.760000000000000009e-01,2.980352632221912046e-01
8.780000000000000027e-01,3.261360055927298163e-01
8.800000000000000044e-01,3.582505320913753621e-01
8.820000000000000062e-01,3.823360016179808696e-01
8.840000000000000080e-01,4.104352552726933112e-01
8.860000000000000098e-01,4.305058469207896366e-01
8.880000000000000115e-01,4.505761853859215904e-01
8.900000000000000133e-01,4.706462706680909491e-01
8.920000000000000151e-01,4.867021566020923729e-01
8.940000000000000169e-01,4.987439647157483336e-01
8.960000000000000187e-01,5.107856816835383285e-01
8.980000000000000204e-01,5.188134423588053323e-01
9.000000000000000222e-01,5.228273075054605812e-01
9.020000000000000240e-01,5.228273075054605812e-01
9.040000000000000258e-01,5.268411625247981789e-01
9.060000000000000275e-01,5.228273075054605812e-01
9.080000000000000293e-01,5.188134423588053323e-01
9.100000000000000311e-01,5.147995670848306560e-01
9.120000000000000329e-01,5.027578804989971673e-01
9.140000000000000346e-01,4.907161027672959364e-01
9.160000000000000364e-01,4.786742338897287397e-01
9.180000000000000382e-01,4.626182669371790013e-01
9.200000000000000400e-01,4.425480803818242492e-01
9.220000000000000417e-01,4.224776406435069021e-01
9.240000000000000435e-01,4.024069477222251834e-01
9.260000000000000453e-01,3.783217820151758559e-01
9.280000000000000471e-01,3.542362517246591125e-01
9.300000000000000488e-01,3.261360055927298163e-01
9.320000000000000506e-01,2.940208309456977531e-01
9.340000000000000524e-01,2.619050081502791727e-01
9.360000000000000542e-01,2.338031315200641558e-01
9.380000000000000560e-01,2.057007586512415998e-01
9.400000000000000577e-01,1.735831534477600968e-01
9.420000000000000595e-01,1.334352354847396782e-01
9.440000000000000613e-01,1.093459985956375391e-01
9.460000000000000631e-01,7.722644894699648432e-02
9.480000000000000648e-01,4.109118085240659468e-02
9.500000000000000666e-01,4.955092445015907288e-03
9.520000000000000684e-01,-1.913608888924578366e-02
9.540000000000000702e-01,-5.527354448464016912e-02
9.560000000000000719e-01,-8.739641589376212494e-02
9.580000000000000737e-01,-1.155044600609667071e-01
9.599999999999999645e-01,-1.476285467483133829e-01
9.619999999999999662e-01,-1.757376542839654832e-01
9.639999999999999680e-01,-2.038472580582251226e-01
9.659999999999999698e-01,-2.279415991158710852e-01
9.679999999999999716e-01,-2.560521244761186921e-01
9.699999999999999734e-01,-2.801472554646107227e-01
9.719999999999999751e-01,-3.002268097896134691e-01
9.739999999999999769e-01,-3.203066172975805870e-01
9.759999999999999787e-01,-3.403866779885103000e-01
9.779999999999999805e-01,-3.604669918624043845e-01
9.799999999999999822e-01,-3.805475589192610641e-01
9.819999999999999840e-01,-3.805475589192610641e-01
9.839999999999999858e-01,-3.966121948564804711e-01
9.859999999999999876e-01,-4.046445735890014106e-01
9.879999999999999893e-01,-4.086607781462401334e-01
9.899999999999999911e-01,-4.126769928307965074e-01
9.919999999999999929e-01,-4.166932176426723089e-01
9.939999999999999947e-01,-4.166932176426723089e-01
9.959999999999999964e-01,-4.166932176426723089e-01
9.979999999999999982e-01,-4.126769928307965074e-01
